code,tema,titulo,url,fecha_publicacion,pdf,txt,n_caracteres
G.13,G,Fiche pathologie bâtiment – G.13  « Poêles à bois à bûches ou pellets » – AQC,https://qualiteconstruction.com/wp-content/uploads/2025/09/Fiche-Pathologie-Batiment-G13-Entretien-Maintenance-Poeles-Bois-Buches-Pellets-AQC.pdf,2025-09-19,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G13-Entretien-Maintenance-Poeles-Bois-Buches-Pellets-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G13-Entretien-Maintenance-Poeles-Bois-Buches-Pellets-AQC.txt,15036
G.12,G,Fiche pathologie bâtiment – G.12  « ITE de type enduit sur isolant » – AQC,https://qualiteconstruction.com/wp-content/uploads/2025/09/Fiche-Pathologie-Batiment-G12-Entretien-Maintenance-ITE-Type-Enduit-Isolant-AQC.pdf,2025-09-19,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G12-Entretien-Maintenance-ITE-Type-Enduit-Isolant-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G12-Entretien-Maintenance-ITE-Type-Enduit-Isolant-AQC.txt,18199
G.11,G,Fiche pathologie bâtiment – G.11  « Dispositifs d’assainissement autonomes » – AQC,https://qualiteconstruction.com/wp-content/uploads/2025/09/Fiche-Pathologie-Batiment-G11-Entretien-Maintenance-Dispositif-Assainissement-Autonomes-AQC.pdf,2025-09-19,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G11-Entretien-Maintenance-Dispositif-Assainissement-Autonomes-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G11-Entretien-Maintenance-Dispositif-Assainissement-Autonomes-AQC.txt,18357
A.08,A,Fiche pathologie bâtiment  – A.08 « Pathologies des canalisations eaux vannes eaux usées et interfaces avec le VRD » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-A08-Pathologies-Canalisations-Eaux-Vannes-Eaux-Usees-Interfaces-VRD-AQC.pdf,2024-06-03,corpus/aqc/pdf/Fiche-Pathologie-Batiment-A08-Pathologies-Canalisations-Eaux-Vannes-Eaux-Usees-Interfaces-VRD-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-A08-Pathologies-Canalisations-Eaux-Vannes-Eaux-Usees-Interfaces-VRD-AQC.txt,15554
G.10,G,Fiche pathologie bâtiment – G.10  « Les installations photovoltaïques en toiture » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G10-Entretien-Maintenance-Installations-Photovoltaiques-Toiture-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G10-Entretien-Maintenance-Installations-Photovoltaiques-Toiture-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G10-Entretien-Maintenance-Installations-Photovoltaiques-Toiture-AQC.txt,10243
G.09,G,Fiche pathologie bâtiment – G.09  « Les couvertures » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G09-Entretien-Maintenance-Couvertures-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G09-Entretien-Maintenance-Couvertures-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G09-Entretien-Maintenance-Couvertures-AQC.txt,16144
G.08,G,Fiche pathologie bâtiment – G.08  « Les menuiseries extérieures » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G08-Entretien-Maintenance-Menuiseries-Exterieures-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G08-Entretien-Maintenance-Menuiseries-Exterieures-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G08-Entretien-Maintenance-Menuiseries-Exterieures-AQC.txt,13485
G.07,G,Fiche pathologie bâtiment – G.07  « La plomberie sanitaire » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G07-Entretien-Maintenance-Plomberie-Sanitaire-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G07-Entretien-Maintenance-Plomberie-Sanitaire-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G07-Entretien-Maintenance-Plomberie-Sanitaire-AQC.txt,13401
G.06,G,Fiche pathologie bâtiment – G.06  « Les VMC simple et double flux » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G06-Entretien-Maintenance-VMC-Simple-Double-Flux-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G06-Entretien-Maintenance-VMC-Simple-Double-Flux-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G06-Entretien-Maintenance-VMC-Simple-Double-Flux-AQC.txt,14448
G.05,G,Fiche pathologie bâtiment – G.05  « Pompe à chaleur aérothermique (air/air ou air/eau) » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G05-Entretien-Maintenance-Pac-Aerothermiques-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G05-Entretien-Maintenance-Pac-Aerothermiques-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G05-Entretien-Maintenance-Pac-Aerothermiques-AQC.txt,9857
G.04,G,Fiche pathologie bâtiment – G.04  « Les balcons » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G04-Entretien-Maintenance-Balcons-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G04-Entretien-Maintenance-Balcons-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G04-Entretien-Maintenance-Balcons-AQC.txt,12975
G.03,G,Fiche pathologie bâtiment – G.03 « Les toitures-terrasses (hors végétalisation) » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G03-Entretien-Maintenance-Toitures-Terrasses-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G03-Entretien-Maintenance-Toitures-Terrasses-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G03-Entretien-Maintenance-Toitures-Terrasses-AQC.txt,14338
G.02,G,Fiche pathologie bâtiment – G.02 « Entretien et maintenance en habitat collectif » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G02-Entretien-Maintenance-Habitat-Collectif-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G02-Entretien-Maintenance-Habitat-Collectif-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G02-Entretien-Maintenance-Habitat-Collectif-AQC.txt,25281
G.01,G,Fiche pathologie bâtiment – G.01 « Entretien et maintenance en maison individuelle » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-G01-Entretien-Maintenance-Maison-Individuelle-AQC.pdf,2024-05-30,corpus/aqc/pdf/Fiche-Pathologie-Batiment-G01-Entretien-Maintenance-Maison-Individuelle-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-G01-Entretien-Maintenance-Maison-Individuelle-AQC.txt,17678
D.14,D,Fiche pathologie bâtiment  – D.14 « Système d’isolation thermique par l’extérieur non ventilé sur support bois » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-D14-Systeme-Isolation-Thermique-Exterieur-Non-Ventile-Support-Bois-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-D14-Systeme-Isolation-Thermique-Exterieur-Non-Ventile-Support-Bois-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-D14-Systeme-Isolation-Thermique-Exterieur-Non-Ventile-Support-Bois-AQC.txt,30397
E.13,E,Fiche pathologie bâtiment  – E.13 « Installations photovoltaïques raccordées au réseau et intégrées au bâtiment » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E13-Installations-Photovoltaiques-Raccordees-Reseau-Integrees-Batiment-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E13-Installations-Photovoltaiques-Raccordees-Reseau-Integrees-Batiment-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E13-Installations-Photovoltaiques-Raccordees-Reseau-Integrees-Batiment-AQC.txt,14486
E.12,E,Fiche pathologie bâtiment  – E.12 « Pompes à chaleur géothermique » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E12-Pompes-Chaleur-Geothermiques-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E12-Pompes-Chaleur-Geothermiques-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E12-Pompes-Chaleur-Geothermiques-AQC.txt,18528
E.11,E,Fiche pathologie bâtiment  – E.11 « Pompes à chaleur air / air » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E11-Pompes-Chaleur-Air-Air-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E11-Pompes-Chaleur-Air-Air-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E11-Pompes-Chaleur-Air-Air-AQC.txt,10063
E.14,E,Fiche pathologie bâtiment  – E.14 « Installations photovoltaïques surimposées en milieu tropical » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E14-Installations-Photovoltaiques-Surimposees-Milieu-Tropical-Outre-Mer-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E14-Installations-Photovoltaiques-Surimposees-Milieu-Tropical-Outre-Mer-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E14-Installations-Photovoltaiques-Surimposees-Milieu-Tropical-Outre-Mer-AQC.txt,19570
E.10,E,Fiche pathologie bâtiment  – E.10 « Pompes à chaleur air / eau » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E10-Pompes-Chaleur-Air-Eau-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E10-Pompes-Chaleur-Air-Eau-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E10-Pompes-Chaleur-Air-Eau-AQC.txt,13958
E.15,E,Fiche pathologie bâtiment  – E.15 « Désordres affectant les chauffe-eau solaires individuels » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E15-Desordres-Chauffe-Eau-Solaires-Individuels-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E15-Desordres-Chauffe-Eau-Solaires-Individuels-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E15-Desordres-Chauffe-Eau-Solaires-Individuels-AQC.txt,15508
E.09,E,Fiche pathologie bâtiment  – E.09 « Condensations dans les logements » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E09-Condensations-Logements-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E09-Condensations-Logements-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E09-Condensations-Logements-AQC.txt,24239
E.16,E,Fiche pathologie bâtiment  – E.16 « Défauts d’isolation acoustique » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E16-Defauts-Isolation-Acoustique-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E16-Defauts-Isolation-Acoustique-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E16-Defauts-Isolation-Acoustique-AQC.txt,14421
E.08,E,Fiche pathologie bâtiment  – E.08 « VMC simple flux / double flux » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E08-VMC-Simple-Flux-Double-Flux-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E08-VMC-Simple-Flux-Double-Flux-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E08-VMC-Simple-Flux-Double-Flux-AQC.txt,15521
F.01,F,Fiche pathologie bâtiment  – F.01 « Défauts d’étanchéité à l’air » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F01-Defauts-Etancheite-Air-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F01-Defauts-Etancheite-Air-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F01-Defauts-Etancheite-Air-AQC.txt,14764
E.07,E,Fiche pathologie bâtiment  – E.07 « Désordres touchant les conduits de fumée (bistrage et souche) » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-E07-Desordres-Conduits-Fumee-Bistrage-Souche-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-E07-Desordres-Conduits-Fumee-Bistrage-Souche-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-E07-Desordres-Conduits-Fumee-Bistrage-Souche-AQC.txt,14094
F.02,F,Fiche pathologie bâtiment  – F.02 « Reprises d’humidité dans les coins douche » – AQC,https://qualiteconstruction.com/wp-content/uploads/2024/05/Fiche-Pathologie-Batiment-F02-Reprises-Humidite-Coins-Douche-AQC.pdf,2024-05-22,corpus/aqc/pdf/Fiche-Pathologie-Batiment-F02-Reprises-Humidite-Coins-Douche-AQC.pdf,corpus/aqc/txt/Fiche-Pathologie-Batiment-F02-Reprises-Humidite-Coins-Douche-AQC.txt,11712
